"City","min_Sales"
"Hamilton",6.048
"Lubbock",6.08
"Great Falls",6.096
"Rochester",6.096
"Torrance",6.096
"Des Moines",6.12
"Lake Forest",6.16
"New Albany",6.16
"Vineland",6.16
"Revere",6.24
"Wheeling",6.24
"Arvada",6.264
"Oceanside",6.3
"Missouri City",6.37
"Broken Arrow",6.38
"Wilson",6.408
"Belleville",6.48
"North Las Vegas",6.48
"Paterson",6.54
"Muskogee",6.56
"Haltom City",6.608
"Jonesboro",6.63
"Encinitas",6.72
"Deer Park",6.924
"Cedar Hill",7.08
"Hoover",7.16
"Macon",7.16
"New Brunswick",7.16
"Edmonds",7.38
"Rockville",7.38
"Palm Coast",7.434
"Holland",7.5
"Morristown",7.56
"North Miami",7.632
"Decatur",7.692
"Mount Vernon",7.752
"Fort Lauderdale",7.764
"Middletown",7.78
"Port Orange",7.824
"Moreno Valley",7.86
"Asheville",7.872
"Bullhead City",7.92
"Visalia",7.92
"Monroe",7.968
"Hempstead",7.98
"Grapevine",8.04
"Lewiston",8.26
"Las Cruces",8.28
"Billings",8.288
"Las Vegas",8.288
"Cary",8.376
"Providence",8.4
"Santa Fe",8.4
"Mentor",8.448
"West Allis",8.52
"Chandler",8.544
"Garland",8.544
"Brentwood",8.56
"Hattiesburg",8.6
"Apple Valley",8.64
"Mission Viejo",8.67
"Broomfield",8.736
"Saint Charles",8.736
"Allen",8.784
"Marysville",8.82
"Reading",8.856
"Romeoville",8.952
"Mobile",8.96
"Waynesboro",9.14
"Oxnard",9.144
"Bedford",9.184
"Greenville",9.216
"Hollywood",9.216
"Bethlehem",9.48
"Vancouver",9.64
"Washington",9.64
"Elmhurst",9.664
"Medford",9.762
"Dover",9.84
"Taylor",9.84
"Delray Beach",9.912
"Sacramento",9.98
"Iowa City",9.99
"Clovis",10.08
"Montgomery",10.16
"Coppell",10.192
"Oak Park",10.192
"Thornton",10.32
"San Marcos",10.332
"Norwich",10.36
"Baytown",10.368
"Freeport",10.476
"Yuma",10.496
"Santa Clara",10.56
"Rapid City",10.68
"Provo",10.776
"Beaumont",10.78
"Tulsa",10.8
"Yonkers",10.896
"Little Rock",11.16
"Carol Stream",11.168
"Andover",11.21
"Pearland",11.228
"Utica",11.52
"Minneapolis",11.54
"Coral Gables",11.568
"San Angelo",11.648
"Greeley",11.664
"Bridgeton",11.67
"Elkhart",11.68
"Orem",11.68
"Sterling Heights",11.68
"Perth Amboy",11.76
"Saint Louis",11.76
"Redmond",11.84
"Rock Hill",11.85
"Evanston",11.992
"Pleasant Grove",12.144
"New Bedford",12.3
"Wausau",12.39
"Alexandria",12.42
"Noblesville",12.56
"Athens",12.78
"Farmington",12.88
"Laguna Niguel",12.96
"Pine Bluff",12.96
"Royal Oak",12.96
"Stockton",12.96
"Warwick",12.96
"West Palm Beach",13.12
"Shelton",13.36
"Overland Park",13.56
"Odessa",13.762
"Dearborn Heights",13.89
"New Rochelle",13.904
"Westland",13.98
"Chapel Hill",14.016
"Kent",14.016
"Olympia",14.03
"Arlington Heights",14.112
"Sierra Vista",14.368
"Hackensack",14.4
"Vallejo",14.45
"Bayonne",14.46
"Avondale",14.576
"Bozeman",14.62
"Edmond",14.62
"San Bernardino",14.62
"Thousand Oaks",14.7
"Camarillo",14.73
"Malden",14.76
"North Charleston",14.76
"Marlborough",14.82
"Nashua",14.82
"Kenosha",14.98
"Chesapeake",15
"Eugene",15.176
"The Colony",15.232
"Dubuque",15.24
"Lakeville",15.28
"Manteca",15.28
"Englewood",15.48
"Milford",15.48
"Margate",15.552
"Saint Petersburg",15.552
"Fremont",15.92
"Saginaw",15.92
"Grand Island",15.96
"Portage",16.28
"Green Bay",16.74
"Lehi",16.776
"Pocatello",17.04
"Cambridge",17.12
"Mount Pleasant",17.14
"Escondido",17.248
"Niagara Falls",17.28
"Kenner",17.34
"La Porte",17.38
"Norfolk",17.43
"Lake Charles",17.94
"Maple Grove",17.94
"San Clemente",18.088
"Longview",18.24
"Watertown",18.54
"Pomona",18.75
"Wichita",18.9
"Medina",19.242
"Antioch",19.44
"Grand Rapids",19.44
"Salt Lake City",19.44
"Amarillo",19.648
"Hampton",20.12
"Miramar",20.232
"Twin Falls",20.416
"Frankfort",20.768
"Meridian",21.312
"Logan",21.36
"Appleton",21.56
"Gresham",21.728
"Morgan Hill",21.92
"Tinley Park",22.288
"Pharr",22.608
"Harrisonburg",23.08
"Atlantic City",23.36
"Spokane",23.84
"New Castle",23.92
"Cottage Grove",24.56
"Bellingham",25.12
"Draper",25.16
"Aberdeen",25.5
"Owensboro",25.5
"Caldwell",25.92
"Hot Springs",25.92
"Lincoln Park",25.99
"Murray",25.99
"South Bend",26.4
"Passaic",26.88
"Frisco",27.168
"Urbandale",27.24
"East Point",27.42
"Danbury",27.46
"Laurel",27.46
"Montebello",27.88
"Canton",28.4
"Kirkwood",28.4
"College Station",28.672
"Ann Arbor",29.16
"Temecula",29.2
"Costa Mesa",29.22
"Covington",29.9
"Waterloo",30.32
"Gulfport",31.36
"East Orange",31.8
"Woodbury",32.34
"Davis",32.4
"Eau Claire",32.56
"Tuscaloosa",33.74
"Charlottesville",34.65
"Goldsboro",34.944
"York",37.896
"Gladstone",38.04
"Helena",39.9
"Rogers",40.41
"Olathe",40.56
"Mansfield",41.472
"Warner Robins",41.86
"Redwood City",41.904
"Southaven",42.68
"Hagerstown",43.8
"Woonsocket",45.36
"La Quinta",46.32
"Texarkana",48.9
"Yucaipa",50.8
"Renton",51.84
"Modesto",52.792
"Waukesha",54.5
"Lindenhurst",55.48
"Dearborn",60.84
"Coachella",63.56
"Norman",63.88
"Moorhead",63.96
"Saint Cloud",72
"Littleton",72.294
"San Mateo",75.18
"Saint Paul",77.88
"Summerville",79.1
"Sparks",79.36
"Clifton",81.92
"La Mesa",82.56
"Lebanon",84.96
"Jefferson City",86.62
"Bartlett",88.96
"Melbourne",95.616
"Hesperia",99.99
"Bangor",101.96
"Texas City",102.438
"Burbank",111
"Conroe",111.672
"Linden",115.36
"Santa Maria",115.44
"Palatine",116.312
"Mishawaka",128.4
"Citrus Heights",129.39
"Rochester Hills",132.52
"Beverly",141.76
"Park Ridge",143.856
"Pico Rivera",145.9
"Commerce City",146.352
"Champaign",151.96
"Glenview",158.376
"Jamestown",159.98
"Longmont",165.6
"Gaithersburg",173.94
"Chula Vista",182.94
"Richardson",190.92
"Coon Rapids",221.16
"Rio Rancho",230.352
"San Gabriel",270.72
"Manhattan",273.96
"Cedar Rapids",278.4
"Lake Elsinore",283.92
"Ontario",283.92
"Conway",301.96
"Holyoke",301.96
"Redding",333.576
"Orland Park",339.96
"Buffalo Grove",355.455
"Normal",366.744
"El Cajon",387.136
"Vacaville",423.28
"Whittier",444.768
"Murrieta",484.65
"Missoula",487.984
"Saint Peters",697.16
"Kissimmee",751.984
"Independence",839.43
"Cheyenne",1603.136
